cufftExecZ2Z_1,0.0122880004,ToDb
cudaMemcpy_16,1024,0.0727040023,0,ToDb
cudaMemcpy_17,1024,0.0592000000,0,ToDb
ToDb_kernel20_0,128,1,0.0037120001,ToDb
cudaMemcpy_18,1441792,0.3379200101,1,ToDb
ToDb_kernel21_0,1,1,0.0040960000,ToDb
ToDb_kernel22_0,1,1,0.0038079999,ToDb
cufftDestroy_0,0.0696320012,cufftEnsureDestruction
cudaMemcpy_20,1024,0.0727040023,1,ToDb
cudaMemcpy_21,1024,0.0714880005,1,ToDb
cudaMemcpy_22,1024,0.0715520009,1,ToDb
cudaMemcpy_23,8,0.0716800019,1,ToDb
cudaFree_10,0.2328960001,ToDb
cudaFree_9,0.0788159966,ToDb
cudaFree_8,0.0768319964,ToDb
cudaFree_7,0.0784000009,ToDb
cudaFree_6,0.0828799978,ToDb
cudaFree_5,0.0783360004,ToDb
cudaFree_4,0.0808959976,ToDb
cudaFree_3,0.0785280019,ToDb
cudaFree_2,0.3105919957,ToDb
cudaFree_1,0.0794560015,ToDb
cudaFree_0,0.0813120008,ToDb
ToDb,384.0000000000,ToDb
cudaMalloc_10,0.0010240000,ToDb
cudaMalloc_9,0.0010240000,ToDb
cudaMalloc_8,0.0010240000,ToDb
cudaMalloc_7,0.0020480000,ToDb
cudaMalloc_6,0.0010240000,ToDb
cudaMalloc_5,0.0010240000,ToDb
cudaMalloc_4,0.0010240000,ToDb
cudaMalloc_3,0.0010240000,ToDb
cudaMalloc_2,0.0010240000,ToDb
cudaMalloc_1,0.0010240000,ToDb
cudaMalloc_0,0.0020480000,ToDb
ToDb_kernel15_0,128,1,0.0061440002,ToDb
cudaMemcpy_10,262144,0.1331200004,1,ToDb
cufftPlanMany_0,275.9802856445,cufftEnsureInitialization
ToDb_kernel16_0,128,1,0.0069439998,ToDb
cufftExecZ2Z_0,0.0145600000,ToDb
cudaMemcpy_12,1024,0.0988800004,0,ToDb
cudaMemcpy_13,1024,0.0753600001,0,ToDb
ToDb_kernel17_0,128,1,0.0032639999,ToDb
ToDb_kernel18_0,128,1,0.0038399999,ToDb
cudaMemcpy_14,262144,0.1671359986,1,ToDb
ToDb_kernel19_0,128,1,0.0059839999,ToDb
cufftExecZ2Z_1,0.0120000001,ToDb
cudaMemcpy_16,1024,0.0950720012,0,ToDb
cudaMemcpy_17,1024,0.0745280012,0,ToDb
ToDb_kernel20_0,128,1,0.0040960000,ToDb
cudaMemcpy_18,1441792,0.5130239725,1,ToDb
ToDb_kernel21_0,1,1,0.0041919998,ToDb
ToDb_kernel22_0,1,1,0.0031999999,ToDb
cufftDestroy_0,0.0921600014,cufftEnsureDestruction
cudaMemcpy_20,1024,0.0962240025,1,ToDb
cudaMemcpy_21,1024,0.0942400023,1,ToDb
cudaMemcpy_22,1024,0.0941760018,1,ToDb
cudaMemcpy_23,8,0.0942080021,1,ToDb
cudaFree_10,0.3594239950,ToDb
cudaFree_9,0.1382399946,ToDb
cudaFree_8,0.1536000073,ToDb
cudaFree_7,0.1494400054,ToDb
cudaFree_6,0.1495680064,ToDb
cudaFree_5,0.1515520066,ToDb
cudaFree_4,0.1842239946,ToDb
cudaFree_3,0.1915840060,ToDb
cudaFree_2,0.4444159865,ToDb
cudaFree_1,0.1054399982,ToDb
cudaFree_0,0.1085759997,ToDb
ToDb,429.0000000000,ToDb
cudaMalloc_10,0.0010240000,ToDb
cudaMalloc_9,0.0020480000,ToDb
cudaMalloc_8,0.0010240000,ToDb
cudaMalloc_7,0.0010240000,ToDb
cudaMalloc_6,0.0010240000,ToDb
cudaMalloc_5,0.0010240000,ToDb
cudaMalloc_4,0.0010240000,ToDb
cudaMalloc_3,0.0010240000,ToDb
cudaMalloc_2,0.0010240000,ToDb
cudaMalloc_1,0.0020480000,ToDb
cudaMalloc_0,0.0019520000,ToDb
ToDb_kernel15_0,128,1,0.0055359998,ToDb
cudaMemcpy_10,262144,0.1767999977,1,ToDb
cufftPlanMany_0,0.0010240000,cufftEnsureInitialization
ToDb_kernel16_0,128,1,0.0061440002,ToDb
cufftExecZ2Z_0,0.0140479999,ToDb
cudaMemcpy_12,1024,0.1095359996,0,ToDb
cudaMemcpy_13,1024,0.0890880004,0,ToDb
ToDb_kernel17_0,128,1,0.0034240000,ToDb
ToDb_kernel18_0,128,1,0.0037120001,ToDb
cudaMemcpy_14,262144,0.1599040031,1,ToDb
